Country,Happiness Rank 2015,Happiness Rank 2016,Happiness Rank 2017,Happiness Rank 2018,Happiness Rank 2019,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017,Happiness Score 2018,Happiness Score 2019,Family 2015,Family 2016,Family 2017,Family 2018,Family 2019,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Trust (Government Corruption) 2015,Trust (Government Corruption) 2016,Trust (Government Corruption) 2017,Trust (Government Corruption) 2018,Trust (Government Corruption) 2019,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019,Happiness.Rank 2015,Happiness.Rank 2016,Happiness.Rank 2017,Happiness.Rank 2018,Happiness.Rank 2019,Happiness.Score 2015,Happiness.Score 2016,Happiness.Score 2017,Happiness.Score 2018,Happiness.Score 2019,Economy..GDP.per.Capita. 2015,Economy..GDP.per.Capita. 2016,Economy..GDP.per.Capita. 2017,Economy..GDP.per.Capita. 2018,Economy..GDP.per.Capita. 2019,Health..Life.Expectancy. 2015,Health..Life.Expectancy. 2016,Health..Life.Expectancy. 2017,Health..Life.Expectancy. 2018,Health..Life.Expectancy. 2019,Trust..Government.Corruption. 2015,Trust..Government.Corruption. 2016,Trust..Government.Corruption. 2017,Trust..Government.Corruption. 2018,Trust..Government.Corruption. 2019,Dystopia.Residual 2015,Dystopia.Residual 2016,Dystopia.Residual 2017,Dystopia.Residual 2018,Dystopia.Residual 2019,Overall rank 2015,Overall rank 2016,Overall rank 2017,Overall rank 2018,Overall rank 2019,Score 2015,Score 2016,Score 2017,Score 2018,Score 2019,GDP per capita 2015,GDP per capita 2016,GDP per capita 2017,GDP per capita 2018,GDP per capita 2019,Social support 2015,Social support 2016,Social support 2017,Social support 2018,Social support 2019,Healthy life expectancy 2015,Healthy life expectancy 2016,Healthy life expectancy 2017,Healthy life expectancy 2018,Healthy life expectancy 2019,Freedom to make life choices 2015,Freedom to make life choices 2016,Freedom to make life choices 2017,Freedom to make life choices 2018,Freedom to make life choices 2019,Perceptions of corruption 2015,Perceptions of corruption 2016,Perceptions of corruption 2017,Perceptions of corruption 2018,Perceptions of corruption 2019
Afghanistan,155.0,156.0,157.0,105.715,54.42999999999999,3.144999999999982,2.92999999999995,2.714999999999975,2.0134270339457125,1.3118540678914503,0.6102811018371881,0.749627765026105,0.581543326377869,0.4119441135875947,0.2423449007973205,0.0727456880070462,0.0025044137859993,0.106179520487785,0.0858030136585244,0.0654265068292639,0.0450500000000033,0.0189800000000062,-0.0070899999999909,0.1169733333333393,0.2410366666666696,0.3651,0.31268,0.311870932579041,0.191,0.158,47.10533333333334,94.05266666666668,141.0,113.55879998207092,86.11759996414185,58.67639994621277,31.23519992828369,3.79399991035461,3.1154953718185388,2.4369908332824677,1.758486294746397,1.079981756210326,0.401477217674255,0.3573311299085613,0.3131850421428678,0.2690389543771742,0.2248928666114805,0.180746778845787,0.1568289890885352,0.1329111993312835,0.1089934095740318,0.0850756198167801,0.0611578300595284,0.4790865004062647,0.897015170753001,1.3149438410997374,1.7328725114464736,2.15080118179321,40.767200787862144,79.38360039393108,118.0,127.0,136.0,145.0,154.0,4.919000000000096,4.490000000000009,4.0610000000000355,3.632,3.203,0.2779999999999987,0.2959999999999994,0.314,0.332,0.35,0.5970000000000013,0.5769999999999982,0.556999999999995,0.537,0.517,-0.0629999999999881,0.0430000000000063,0.1490000000000009,0.255,0.361,0.3400000000000034,0.2549999999999954,0.1699999999999875,0.085,0.0,0.068999999999999,0.0579999999999998,0.0470000000000006,0.036,0.025
Albania,123.0,137.0,151.0,102.117,53.233999999999995,4.350999999999999,4.0470000000000255,3.743000000000052,2.7295212212880795,1.7160424425761076,0.7025636638641359,0.7022362878131869,0.803685247898102,0.669899100480637,0.5361129530631721,0.402326805645707,0.3919746065866611,0.381498634815216,0.2682957565434768,0.1550928782717377,0.0418899999999986,0.0307700000000004,0.0196499999999986,0.0606733333333324,0.1016966666666662,0.14272,0.1684,0.201312944293022,0.149,0.178,36.452,72.726,109.0,88.12880001068115,67.25760002136231,46.38640003204346,25.515200042724615,4.64400005340576,3.9144385933876022,3.184877133369445,2.4553156733512873,1.7257542133331296,0.996192753314972,0.9431861519813538,0.8901795506477356,0.8371729493141175,0.7841663479804992,0.731159746646881,0.5929006405174732,0.4546415343880652,0.3163824282586573,0.1781233221292495,0.0398642159998417,0.3299796849489213,0.620095153898001,0.9102106228470808,1.2003260917961602,1.49044156074524,43.326961040496826,85.16348052024841,127.0,122.0,117.0,112.0,107.0,4.186999999999955,4.319999999999993,4.4529999999999745,4.586,4.719,0.8230000000000004,0.8539999999999992,0.884999999999998,0.916,0.947,0.7240000000000038,0.7550000000000097,0.7860000000000085,0.817,0.848,0.5380000000000109,0.6220000000000141,0.7060000000000173,0.79,0.874,0.527000000000001,0.4909999999999996,0.4549999999999983,0.419,0.383,0.0469999999999988,0.0419999999999998,0.036999999999999,0.032,0.027
Alemania,6.0,-4.0,-14.0,-6.920666666666648,0.1586666666667042,7.238000000000056,7.482000000000028,7.726000000000056,5.638342378404445,3.5506847568088347,1.463027135213224,1.549602310918175,1.47252035140991,1.1688536424437534,0.8651869334775969,0.5615202245114403,0.506540261930013,0.562511384487152,0.4925375896581082,0.4225637948290643,0.3525900000000206,0.4196700000000248,0.4867500000000007,0.4185466666666671,0.3503433333333335,0.28214,0.30452,0.336269170045853,0.273,0.261,5.507333333333333,10.753666666666666,16.0,14.19020004272461,12.38040008544922,10.57060012817383,8.76080017089844,6.95100021362305,5.858384847640995,4.765769481658938,3.673154115676882,2.580538749694826,1.48792338371277,1.350128853321077,1.2123343229293833,1.0745397925376898,0.9367452621459964,0.798950731754303,0.694506973028183,0.590063214302063,0.485619455575943,0.381175696849823,0.276731938123703,0.6245395421981804,0.9723471462726578,1.3201547503471351,1.667962354421613,2.01576995849609,4.343846638997393,6.671923319498696,9.0,11.0,13.0,15.0,17.0,6.904999999999994,6.924999999999997,6.945,6.965,6.985,1.2409999999999997,1.274000000000001,1.3070000000000022,1.34,1.373,1.533999999999999,1.5139999999999958,1.493999999999993,1.474,1.454,0.4830000000000325,0.6090000000000089,0.7350000000000136,0.861,0.987,0.8590000000000089,0.7680000000000291,0.6770000000000209,0.586,0.495,0.3250000000000028,0.3100000000000023,0.2950000000000017,0.28,0.265
Algeria,8.0,-22.0,-52.0,-32.29833333333333,-12.596666666666655,7.105000000000018,7.855000000000018,8.605000000000018,6.099168873511431,3.5933377470228436,1.0875066205342565,1.1217553532346043,1.1462174654007,0.7990918374219409,0.4519662094431818,0.1048405814644226,0.0838895672640518,0.233335807919502,0.2053272052796679,0.1773186026398339,0.1493099999999998,0.1370499999999985,0.1247900000000008,0.1092666666666672,0.0937433333333336,0.07822,0.07044,0.0694366469979286,0.055,0.073,17.715333333333334,35.35766666666667,53.0,43.57440004348754,34.14880008697509,24.72320013046264,15.297600173950189,5.87200021743774,4.915973067283628,3.959945917129516,3.0039187669754037,2.0478916168212917,1.09186446666718,0.9970085024833716,0.9021525382995632,0.8072965741157547,0.7124406099319464,0.617584645748138,0.523286938667297,0.4289892315864559,0.334691524505615,0.240393817424774,0.146096110343933,0.6303976535797123,1.1146991968154918,1.5990007400512711,2.0833022832870505,2.56760382652283,25.711735884348556,48.85586794217428,72.0,76.0,80.0,84.0,88.0,5.5470000000000255,5.463000000000022,5.379000000000019,5.295,5.211,0.9099999999999966,0.9329999999999998,0.955999999999996,0.979,1.002,1.1359999999999992,1.1419999999999997,1.1479999999999997,1.154,1.16,0.3929999999999722,0.4909999999999854,0.5889999999999702,0.687,0.785,0.0499999999999971,0.0589999999999975,0.0679999999999978,0.077,0.086,0.1979999999999933,0.1769999999999925,0.1559999999999988,0.135,0.114
Angola,145.0,149.0,153.0,103.233,53.46600000000001,3.699000000000012,3.5319999999999823,3.365000000000009,2.616723093176953,1.8684461863538977,1.1201692795308418,1.2421752593548945,1.10441195964813,0.7295483064320871,0.3546846532160441,-0.0201789999999988,-0.0519199999999955,0.0750439999999983,0.0433030000000016,0.0115619999999978,0.0974600000000016,0.1105800000000023,0.123700000000003,0.104547748334807,0.085395496669611,0.066243245004415,0.12071,0.097926490008831,0.079,35.05925,70.03949999999999,105.01975,140.0,112.7590000152588,85.51800003051758,58.27700004577636,31.036000061035153,3.79500007629395,3.2076856970787087,2.6203713178634676,2.033056938648226,1.4457425594329845,0.858428180217743,0.6967162773013116,0.5350043743848801,0.3732924714684487,0.2115805685520172,0.0498686656355858,0.053838999569416,0.0578093335032463,0.0617796674370765,0.0657500013709068,0.0697203353047371,0.3786727488040916,0.6876251623034462,0.9965775758028008,1.3055299893021552,1.61448240280151,25.01206866900126,48.40965493520101,71.80724120140076,95.20482746760052,118.60241373380023,142.0,114.359,86.71799999999999,59.077,31.435999999999993,3.795,3.182,2.569,1.956,1.343,0.73,0.8089999999999999,0.888,0.967,1.046,1.125,0.9538,0.7826,0.6114,0.4402,0.269,0.1085400000000022,-0.0519199999999955,-0.0346133333333303,-0.0173066666666651,0.0,0.0121999999999999,0.0243999999999999,0.0365999999999999,0.0487999999999999,0.061,0.061
Argentina,22.0,18.0,14.0,11.575333333333331,9.150666666666666,6.725999999999999,6.802000000000021,6.878000000000014,5.066607175632062,3.2552143512641103,1.4438215268961585,1.539932099482229,1.44045114517212,1.1386258855808844,0.8368006259896488,0.5349753663984131,0.4956757052425899,0.494519203901291,0.3500394692675275,0.2055597346337639,0.0610800000000004,0.0492000000000025,0.0373200000000011,0.0630500000000007,0.0887800000000003,0.11451,0.10989,0.109457060694695,0.062,0.066,8.044,16.022000000000002,24.0,20.519799995422364,17.039599990844728,13.559399986267092,10.079199981689456,6.59899997711182,5.516259074211124,4.433518171310428,3.3507772684097317,2.268036365509036,1.18529546260834,1.0872637867927573,0.9892321109771745,0.8912004351615916,0.7931687593460088,0.695137083530426,0.5680576443672181,0.44097820520401,0.3138987660408019,0.1868193268775939,0.059739887714386,0.5705929756164548,1.0814460635185237,1.5922991514205926,2.103152239322662,2.61400532722473,-6.5906631151835136,-15.795331557591757,-25.0,-7.0,11.0,29.0,47.0,7.293999999999983,6.991999999999962,6.689999999999941,6.388,6.086,1.0160000000000051,1.0350000000000037,1.054000000000002,1.073,1.092,1.5760000000000076,1.5400000000000065,1.5040000000000049,1.468,1.432,0.33299999999997,0.4699999999999704,0.6069999999999709,0.744,0.881,0.8669999999999902,0.7680000000000007,0.6689999999999827,0.57,0.471,0.0659999999999989,0.0619999999999993,0.0579999999999998,0.054,0.05
Armenia,115.0,109.0,103.0,70.12333333333333,37.24666666666667,4.370000000000001,4.380000000000003,4.390000000000001,3.2711649870130755,2.15232997402615,1.0334949610392243,1.1486818214289372,1.00748372077942,0.7545932577342553,0.5017027946890905,0.2488123316439257,0.2732082758068017,0.198303267359734,0.1433088449064895,0.0883144224532451,0.0333200000000006,0.0304800000000007,0.0276400000000007,0.0446100000000005,0.0615800000000002,0.07855,0.07793,0.0834880918264389,0.077,0.095,40.39666666666667,80.69833333333334,121.0,97.67519998550416,74.3503999710083,51.02559995651245,27.7007999420166,4.37599992752075,3.6809192895889264,2.985838651657103,2.29075801372528,1.595677375793456,0.900596737861633,0.8479822754859921,0.7953678131103513,0.7427533507347106,0.6901388883590698,0.637524425983429,0.5153544250875711,0.3931844241917133,0.2710144232958555,0.1488444223999977,0.0266744215041399,0.3256393685936919,0.6246043156832439,0.923569262772796,1.222534209862348,1.5214991569519,57.01433277130126,112.50716638565063,168.0,155.0,142.0,129.0,116.0,3.607000000000028,3.8450000000000273,4.083000000000027,4.321,4.559,0.7139999999999986,0.7480000000000047,0.7819999999999965,0.816,0.85,0.7949999999999875,0.8600000000000136,0.9250000000000114,0.99,1.055,0.2189999999999941,0.367999999999995,0.5169999999999959,0.666,0.815,0.1910000000000025,0.2140000000000057,0.2370000000000018,0.26,0.283,-0.0799999999999983,-0.0439999999999969,-0.0079999999999955,0.028,0.064
Australia,8.0,7.0,6.0,6.447333333333333,6.894666666666666,7.341999999999999,7.370999999999995,7.399999999999999,5.4362742009480725,3.472548401896146,1.508822602844219,1.6092285789108018,1.51004195213318,1.2127984271919567,0.9155549022507334,0.6183113773095101,0.5674271624166494,0.601607382297516,0.4978215881983441,0.3940357940991722,0.2902500000000003,0.2571899999999942,0.2241300000000023,0.2946266666666682,0.3651233333333341,0.43562,0.47407,0.477699249982834,0.361,0.332,3.5546666666666664,6.777333333333333,10.0,9.456799983978271,8.913599967956545,8.370399951934816,7.827199935913088,7.28399991989136,6.124082922935488,4.964165925979616,3.804248929023744,2.644331932067872,1.484414935112,1.356309306621552,1.228203678131104,1.100098049640656,0.971992421150208,0.84388679265976,0.7353461802005772,0.6268055677413944,0.5182649552822116,0.4097243428230288,0.301183730363846,0.6539891481399527,1.0067945659160595,1.3595999836921662,1.712405401468273,2.06521081924438,3.71014054616292,5.35507027308146,7.0,8.0,9.0,10.0,11.0,7.403999999999996,7.359999999999999,7.316000000000003,7.272,7.228,1.2440000000000069,1.2760000000000034,1.3079999999999998,1.34,1.372,1.647999999999996,1.6229999999999976,1.597999999999999,1.573,1.548,0.5320000000000107,0.657999999999987,0.7839999999999918,0.91,1.036,0.9170000000000016,0.8269999999999982,0.7369999999999948,0.647,0.557,0.3380000000000009,0.3260000000000005,0.314,0.302,0.29
Austria,11.0,10.0,9.0,8.346000000000004,7.692000000000007,7.038000000000011,6.956999999999994,6.876000000000005,5.0650588726467545,3.2541177452935037,1.443176617940253,1.5246290996678624,1.4599449634552,1.169564874772997,0.879184786090794,0.588804697408591,0.5401493691989145,0.567766189575195,0.4585774597167971,0.3493887298583993,0.2402000000000015,0.2669199999999989,0.2936400000000034,0.3060533333333356,0.3184666666666678,0.33088,0.32865,0.316472321748734,0.242,0.244,4.496,8.748,13.0,11.801200008392334,10.602400016784667,9.403600025177004,8.204800033569336,7.00600004196167,5.9022194862365716,4.798438930511474,3.694658374786376,2.5908778190612782,1.48709726333618,1.3527434945106496,1.2183897256851188,1.0840359568595883,0.9496821880340576,0.815328419208527,0.6964748084545138,0.5776211977005006,0.4587675869464874,0.3399139761924742,0.221060365438461,0.6045495748519888,0.9880387842655164,1.3715279936790443,1.755017203092572,2.1385064125061,7.425670941670734,12.712835470835367,18.0,16.0,14.0,12.0,10.0,6.817999999999984,6.924999999999983,7.031999999999982,7.139,7.246,1.2360000000000042,1.271000000000015,1.3060000000000116,1.341,1.376,1.590999999999994,1.5619999999999976,1.532999999999994,1.504,1.475,0.5159999999999911,0.6409999999999911,0.7659999999999911,0.891,1.016,0.8720000000000141,0.7870000000000061,0.7019999999999982,0.617,0.532,0.2180000000000004,0.2200000000000002,0.2219999999999999,0.224,0.226
Azerbaijan,82.0,83.0,84.0,57.790000000000006,31.580000000000005,5.3700000000000045,5.449000000000012,5.527999999999992,4.073573446756986,2.6191468935139803,1.164720340270975,1.2719554678726013,1.15240025520325,0.9042382935244452,0.6560763318456404,0.4079143701668357,0.371240654083536,0.398155838251114,0.3313138921674082,0.2644719460837024,0.1976299999999966,0.2161199999999965,0.2346099999999964,0.1824033333333309,0.1301966666666654,0.07799,0.0564,0.0452693402767181,0.031,0.035,28.35666666666667,56.678333333333335,85.0,69.04680004119874,53.09360008239746,37.140400123596194,21.187200164794923,5.23400020599365,4.417920517921446,3.601840829849242,2.785761141777038,1.9696814537048344,1.15360176563263,1.031036567687989,0.9084713697433476,0.7859061717987065,0.6633409738540652,0.540775775909424,0.468818122148514,0.396860468387604,0.324902814626694,0.252945160865784,0.180987507104874,0.4972863435745231,0.8135851800441724,1.1298840165138215,1.4461828529834708,1.76248168945312,27.174987792968743,52.58749389648437,78.0,81.0,84.0,87.0,90.0,5.179999999999998,5.186999999999998,5.193999999999999,5.201,5.208,0.967000000000006,0.9860000000000042,1.0050000000000026,1.024,1.043,1.2029999999999994,1.189,1.1750000000000007,1.161,1.147,0.1049999999999613,0.2709999999999581,0.436999999999955,0.603,0.769,0.6670000000000016,0.5879999999999939,0.5090000000000146,0.43,0.351,0.1579999999999994,0.1639999999999997,0.1699999999999999,0.176,0.182
