Country,Region 2015,Region 2016,Region 2017,Region 2018,Region 2019,Happiness Rank 2015,Happiness Rank 2016,Happiness Rank 2017,Happiness Rank 2018,Happiness Rank 2019,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017,Happiness Score 2018,Happiness Score 2019,Standard Error 2015,Standard Error 2016,Standard Error 2017,Standard Error 2018,Standard Error 2019,Economy (GDP per Capita) 2015,Economy (GDP per Capita) 2016,Economy (GDP per Capita) 2017,Economy (GDP per Capita) 2018,Economy (GDP per Capita) 2019,Family 2015,Family 2016,Family 2017,Family 2018,Family 2019,Health (Life Expectancy) 2015,Health (Life Expectancy) 2016,Health (Life Expectancy) 2017,Health (Life Expectancy) 2018,Health (Life Expectancy) 2019,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Trust (Government Corruption) 2015,Trust (Government Corruption) 2016,Trust (Government Corruption) 2017,Trust (Government Corruption) 2018,Trust (Government Corruption) 2019,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019,Dystopia Residual 2015,Dystopia Residual 2016,Dystopia Residual 2017,Dystopia Residual 2018,Dystopia Residual 2019,Lower Confidence Interval 2015,Lower Confidence Interval 2016,Lower Confidence Interval 2017,Lower Confidence Interval 2018,Lower Confidence Interval 2019,Upper Confidence Interval 2015,Upper Confidence Interval 2016,Upper Confidence Interval 2017,Upper Confidence Interval 2018,Upper Confidence Interval 2019,Happiness.Rank 2015,Happiness.Rank 2016,Happiness.Rank 2017,Happiness.Rank 2018,Happiness.Rank 2019,Happiness.Score 2015,Happiness.Score 2016,Happiness.Score 2017,Happiness.Score 2018,Happiness.Score 2019,Whisker.high 2015,Whisker.high 2016,Whisker.high 2017,Whisker.high 2018,Whisker.high 2019,Whisker.low 2015,Whisker.low 2016,Whisker.low 2017,Whisker.low 2018,Whisker.low 2019,Economy..GDP.per.Capita. 2015,Economy..GDP.per.Capita. 2016,Economy..GDP.per.Capita. 2017,Economy..GDP.per.Capita. 2018,Economy..GDP.per.Capita. 2019,Health..Life.Expectancy. 2015,Health..Life.Expectancy. 2016,Health..Life.Expectancy. 2017,Health..Life.Expectancy. 2018,Health..Life.Expectancy. 2019,Trust..Government.Corruption. 2015,Trust..Government.Corruption. 2016,Trust..Government.Corruption. 2017,Trust..Government.Corruption. 2018,Trust..Government.Corruption. 2019,Dystopia.Residual 2015,Dystopia.Residual 2016,Dystopia.Residual 2017,Dystopia.Residual 2018,Dystopia.Residual 2019,Overall rank 2015,Overall rank 2016,Overall rank 2017,Overall rank 2018,Overall rank 2019,Score 2015,Score 2016,Score 2017,Score 2018,Score 2019,GDP per capita 2015,GDP per capita 2016,GDP per capita 2017,GDP per capita 2018,GDP per capita 2019,Social support 2015,Social support 2016,Social support 2017,Social support 2018,Social support 2019,Healthy life expectancy 2015,Healthy life expectancy 2016,Healthy life expectancy 2017,Healthy life expectancy 2018,Healthy life expectancy 2019,Freedom to make life choices 2015,Freedom to make life choices 2016,Freedom to make life choices 2017,Freedom to make life choices 2018,Freedom to make life choices 2019,Perceptions of corruption 2015,Perceptions of corruption 2016,Perceptions of corruption 2017,Perceptions of corruption 2018,Perceptions of corruption 2019
Afghanistan,Southern Asia,Southern Asia,,,,153.0,154.0,,,,3.575,3.36,,,,0.03084,,,,,0.31982,0.38227,,,,0.30285,0.11037,0.581543326377869,,,0.30335,0.17344,,,,0.23414,0.1643,0.106179520487785,,,0.09719,0.07112,,,,0.3651,0.31268,0.311870932579041,0.191,0.158,1.9521,2.14558,,,,,3.288,,,,,3.432,,,,,,141.0,,,,,3.79399991035461,,,,,3.87366141527891,,,,,3.71433840543032,,,,,0.401477217674255,,,,,0.180746778845787,,,,,0.0611578300595284,,,,,2.15080118179321,,,,,,145.0,154.0,,,,3.632,3.203,,,,0.332,0.35,,,,0.537,0.517,,,,0.255,0.361,,,,0.085,0.0,,,,0.036,0.025
Albania,Central and Eastern Europe,Central and Eastern Europe,,,,95.0,109.0,,,,4.959,4.655,,,,0.05013,,,,,0.87867,0.9553,,,,0.80434,0.50163,0.803685247898102,,,0.81325,0.73007,,,,0.35733,0.31866,0.381498634815216,,,0.06413,0.05301,,,,0.14272,0.1684,0.201312944293022,0.149,0.178,1.89894,1.92816,,,,,4.546,,,,,4.764,,,,,,109.0,,,,,4.64400005340576,,,,,4.75246400639415,,,,,4.53553610041738,,,,,0.996192753314972,,,,,0.731159746646881,,,,,0.0398642159998417,,,,,1.49044156074524,,,,,,112.0,107.0,,,,4.586,4.719,,,,0.916,0.947,,,,0.817,0.848,,,,0.79,0.874,,,,0.419,0.383,,,,0.032,0.027
Alemania,Western Europe,Western Europe,,,,26.0,16.0,,,,6.75,6.994,,,,0.01848,,,,,1.32792,1.44787,,,,1.29937,1.09774,1.47252035140991,,,0.89186,0.81487,,,,0.61477,0.53466,0.562511384487152,,,0.21843,0.28551,,,,0.28214,0.30452,0.336269170045853,0.273,0.261,2.11569,2.50931,,,,,6.93,,,,,7.058,,,,,,16.0,,,,,6.95100021362305,,,,,7.00538156926632,,,,,6.89661885797977,,,,,1.48792338371277,,,,,0.798950731754303,,,,,0.276731938123703,,,,,2.01576995849609,,,,,,15.0,17.0,,,,6.965,6.985,,,,1.34,1.373,,,,1.474,1.454,,,,0.861,0.987,,,,0.586,0.495,,,,0.28,0.265
Algeria,Middle East and Northern Africa,Middle East and Northern Africa,,,,68.0,38.0,,,,5.605,6.355,,,,0.05099,,,,,0.93929,1.05266,,,,1.07772,0.83309,1.1462174654007,,,0.61766,0.61804,,,,0.28579,0.21006,0.233335807919502,,,0.17383,0.16157,,,,0.07822,0.07044,0.0694366469979286,0.055,0.073,2.43209,3.40904,,,,,6.227,,,,,6.483,,,,,,53.0,,,,,5.87200021743774,,,,,5.97828643366694,,,,,5.76571400120854,,,,,1.09186446666718,,,,,0.617584645748138,,,,,0.146096110343933,,,,,2.56760382652283,,,,,,84.0,88.0,,,,5.295,5.211,,,,0.979,1.002,,,,1.154,1.16,,,,0.687,0.785,,,,0.077,0.086,,,,0.135,0.114
Angola,Sub-Saharan Africa,Sub-Saharan Africa,,,,137.0,141.0,,,,4.033,3.866,,,,0.04758,,,,,0.75778,0.84731,,,,0.8604,0.66366,1.10441195964813,,,0.16683,0.04991,,,,0.10384,0.00589,0.0,,,0.07122,0.08434,,,,0.12344,0.12071,0.097926490008831,0.079,,1.94939,2.09459,,,,,3.753,,,,,3.979,,,,,,140.0,,,,,3.79500007629395,,,,,3.95164193540812,,,,,3.63835821717978,,,,,0.858428180217743,,,,,0.0498686656355858,,,,,0.0697203353047371,,,,,1.61448240280151,,,,,,142.0,,,,,3.795,,,,,0.73,,,,,1.125,,,,,0.269,,,,,0.0,,,,,0.061,
Argentina,Latin America and Caribbean,Latin America and Caribbean,,,,30.0,26.0,,,,6.574,6.65,,,,0.04612,,,,,1.05351,1.15137,,,,1.24823,1.06612,1.44045114517212,,,0.78723,0.69711,,,,0.44974,0.42284,0.494519203901291,,,0.08484,0.07296,,,,0.11451,0.10989,0.109457060694695,0.062,0.066,2.836,3.12985,,,,,6.56,,,,,6.74,,,,,,24.0,,,,,6.59899997711182,,,,,6.69008508607745,,,,,6.50791486814618,,,,,1.18529546260834,,,,,0.695137083530426,,,,,0.059739887714386,,,,,2.61400532722473,,,,,,29.0,47.0,,,,6.388,6.086,,,,1.073,1.092,,,,1.468,1.432,,,,0.744,0.881,,,,0.57,0.471,,,,0.054,0.05
Armenia,Central and Eastern Europe,Central and Eastern Europe,,,,127.0,121.0,,,,4.35,4.36,,,,0.04763,,,,,0.76821,0.86086,,,,0.77711,0.62477,1.00748372077942,,,0.7299,0.64083,,,,0.19847,0.14037,0.198303267359734,,,0.039,0.03616,,,,0.07855,0.07793,0.0834880918264389,0.077,0.095,1.75873,1.97864,,,,,4.266,,,,,4.454,,,,,,121.0,,,,,4.37599992752075,,,,,4.46673461228609,,,,,4.28526524275541,,,,,0.900596737861633,,,,,0.637524425983429,,,,,0.0266744215041399,,,,,1.5214991569519,,,,,,129.0,116.0,,,,4.321,4.559,,,,0.816,0.85,,,,0.99,1.055,,,,0.666,0.815,,,,0.26,0.283,,,,0.028,0.064
Australia,Australia and New Zealand,Australia and New Zealand,,,,10.0,9.0,,,,7.284,7.313,,,,0.04083,,,,,1.33358,1.44443,,,,1.30923,1.10476,1.51004195213318,,,0.93156,0.8512,,,,0.65124,0.56837,0.601607382297516,,,0.35637,0.32331,,,,0.43562,0.47407,0.477699249982834,0.361,0.332,2.26646,2.5465,,,,,7.241,,,,,7.385,,,,,,10.0,,,,,7.28399991989136,,,,,7.35665122494102,,,,,7.2113486148417,,,,,1.484414935112,,,,,0.84388679265976,,,,,0.301183730363846,,,,,2.06521081924438,,,,,,10.0,11.0,,,,7.272,7.228,,,,1.34,1.372,,,,1.573,1.548,,,,0.91,1.036,,,,0.647,0.557,,,,0.302,0.29
Austria,Western Europe,Western Europe,,,,13.0,12.0,,,,7.2,7.119,,,,0.03751,,,,,1.33723,1.45038,,,,1.29704,1.08383,1.4599449634552,,,0.89042,0.80565,,,,0.62433,0.54355,0.567766189575195,,,0.18676,0.21348,,,,0.33088,0.32865,0.316472321748734,0.242,0.244,2.5332,2.69343,,,,,7.045,,,,,7.193,,,,,,13.0,,,,,7.00600004196167,,,,,7.07066981211305,,,,,6.94133027181029,,,,,1.48709726333618,,,,,0.815328419208527,,,,,0.221060365438461,,,,,2.1385064125061,,,,,,12.0,10.0,,,,7.139,7.246,,,,1.341,1.376,,,,1.504,1.475,,,,0.891,1.016,,,,0.617,0.532,,,,0.224,0.226
Azerbaijan,Central and Eastern Europe,Central and Eastern Europe,,,,80.0,81.0,,,,5.212,5.291,,,,0.03363,,,,,1.02389,1.12373,,,,0.93793,0.76042,1.15240025520325,,,0.64045,0.54504,,,,0.3703,0.35327,0.398155838251114,,,0.16065,0.17914,,,,0.07799,0.0564,0.0452693402767181,0.031,0.035,2.00073,2.2735,,,,,5.226,,,,,5.356,,,,,,85.0,,,,,5.23400020599365,,,,,5.29928653523326,,,,,5.16871387675405,,,,,1.15360176563263,,,,,0.540775775909424,,,,,0.180987507104874,,,,,1.76248168945312,,,,,,87.0,90.0,,,,5.201,5.208,,,,1.024,1.043,,,,1.161,1.147,,,,0.603,0.769,,,,0.43,0.351,,,,0.176,0.182
