Country Name,Region,Continent,Crecimiento población urbana,"Inflación, deflactor del PIB (%) anual",Personas desempleadas educación intermedia,Medicos (cada 1.000 personas),Desempleo hombres,Desempleo mujeres,Empleados agricultura - hombres,Comercio servicios,Crecimiento PIB per capita,Contaminación aire,"Trabajadores asalariados (empleados), total",Indice facilidad para hacer negocios,Personas desempleadas educación basica,"Empleadores, total","Agricultura, silvicultura y pesca, valor agregado",Tierras cultivables,Personas desempleadas educación avanzada,PIB per capita US a precios actuales,Inversión extranjera directa,Empleados agricultura - mujeres,"Empleo vulnerable, total",Nuevas empresas registradas (numero),Empleos agricultura,"Desempleo, total",Pago de impuestos (numero),Cluster
Albania,Southern Europe,Europe,1.485,0.564,20.502,1.219,17.248,17.122,36.407,34.387,2.517,100.0,41.188,82.0,13.5,2.362,19.78,22.449,19.276,3952.804,8.691,47.636,56.451,2567.0,41.283,17.193,34.0,2
Alemania,Western Europe,Europe,0.879,1.685,4.231,4.12,4.962,4.205,1.775,17.272,0.777,95.953,89.291,22.0,11.166,4.863,0.709,33.956,2.263,41911.011,1.823,0.954,5.846,69384.0,1.394,4.612,9.0,0
Andorra,Southern Europe,Europe,-2.252,0.661,0.0,3.626,0.0,0.0,0.0,87.58,3.631,90.848,0.0,0.0,0.0,0.0,0.513,1.723,0.0,38654.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Argentina,South America,South America,1.185,26.58,9.129,3.973,6.798,8.706,0.875,5.421,1.661,98.022,75.653,126.0,10.511,3.594,5.157,14.745,3.268,13679.626,1.977,0.258,20.753,4958.0,0.626,8.347,9.0,0
Aruba,Caribbean,North America,1.179,6.831,0.0,0.0,0.0,0.0,0.0,101.123,-1.636,0.0,0.0,0.0,0.0,0.0,0.013,11.111,0.0,27458.225,-0.907,0.0,0.0,0.0,0.0,0.0,0.0,0
Austria,Western Europe,Europe,1.449,2.293,5.508,5.099,6.179,5.372,4.816,28.199,0.174,91.474,82.833,27.0,11.147,5.987,1.144,16.312,3.953,43915.228,-1.804,4.21,11.181,6301.0,4.531,5.802,12.0,0
Bahamas,Caribbean,North America,0.888,5.309,9.77,1.855,11.082,12.996,5.331,35.756,0.198,100.0,84.421,119.0,18.349,0.867,0.827,0.799,3.346,30289.402,0.652,1.287,14.711,0.0,3.412,12.0,19.0,0
Barbados,Caribbean,North America,-0.022,-0.611,10.628,2.55,10.632,8.969,4.196,40.301,-1.074,100.0,83.716,128.0,11.147,0.731,1.802,18.605,5.232,18954.291,13.02,1.6,15.552,1105.0,2.89,9.803,28.0,0
Belarús,Eastern Europe,Europe,0.767,16.023,6.943,5.051,7.486,4.255,13.411,19.67,-3.957,100.0,96.025,49.0,13.393,0.565,6.283,27.971,2.994,5967.069,2.927,7.081,3.41,6095.0,10.212,1.0,7.0,0
Belice,Central America,North America,2.258,-0.305,9.765,1.126,5.446,11.093,25.81,32.698,0.737,100.0,67.525,135.0,7.756,6.278,9.614,3.858,5.347,6154.496,2.696,4.532,26.197,675.0,18.082,7.578,29.0,1
