Country,Region,Continent,Rank (2015),Score (2015),GDP per capita (2015),Family (2015),Health (Life Expectancy) (2015),Freedom (2015),Perceptions of corruption (2015),Generosity (2015),Rank (2016),Score (2016),GDP per capita (2016),Family (2016),Health (Life Expectancy) (2016),Freedom (2016),Perceptions of corruption (2016),Generosity (2016),Score (2023),Family (2023),Health (Life Expectancy) (2023),Freedom (2023),Perceptions of corruption (2023),Generosity (2023),Rank (2023)
Afganistán,Southern Asia,Asia,153.0,3.575,0.32,0.303,0.303,0.234,0.097,0.365,154.0,3.36,0.382,0.11,0.173,0.164,0.071,0.313,1.859,0.0,0.087,0.0,0.059,0.093,137.0
Albania,Southern Europe,Europe,95.0,4.959,0.879,0.804,0.813,0.357,0.064,0.143,109.0,4.655,0.955,0.502,0.73,0.319,0.053,0.168,5.277,0.951,0.48,0.549,0.037,0.133,83.0
Alemania,Western Europe,Europe,26.0,6.75,1.328,1.299,0.892,0.615,0.218,0.282,16.0,6.994,1.448,1.098,0.815,0.535,0.286,0.305,6.892,1.401,0.539,0.618,0.365,0.153,16.0
Angola,Middle Africa,Africa,137.0,4.033,0.758,0.86,0.167,0.104,0.071,0.123,141.0,3.866,0.847,0.664,0.05,0.006,0.084,0.121,,,,,,,
Arabia Saudita,Western Asia,Asia,35.0,6.411,1.395,1.084,0.72,0.31,0.325,0.137,34.0,6.379,1.49,0.848,0.593,0.379,0.3,0.155,6.463,1.37,0.351,0.682,0.17,0.093,30.0
Argelia,,,68.0,5.605,0.939,1.078,0.618,0.286,0.174,0.078,38.0,6.355,1.053,0.833,0.618,0.21,0.162,0.07,5.329,1.298,0.409,0.252,0.152,0.073,81.0
Argentina,South America,South America,30.0,6.574,1.054,1.248,0.787,0.45,0.085,0.115,26.0,6.65,1.151,1.066,0.697,0.423,0.073,0.11,6.024,1.388,0.427,0.587,0.082,0.088,52.0
Armenia,,,127.0,4.35,0.768,0.777,0.73,0.198,0.039,0.079,121.0,4.36,0.861,0.625,0.641,0.14,0.036,0.078,5.342,1.134,0.443,0.551,0.16,0.053,79.0
Australia,Australia and New Zealand,Oceania,10.0,7.284,1.334,1.309,0.932,0.651,0.356,0.436,9.0,7.313,1.444,1.105,0.851,0.568,0.323,0.474,7.095,1.497,0.532,0.677,0.31,0.242,12.0
Austria,Western Europe,Europe,13.0,7.2,1.337,1.297,0.89,0.624,0.187,0.331,12.0,7.119,1.45,1.084,0.806,0.544,0.213,0.329,7.097,1.382,0.535,0.63,0.31,0.191,11.0
Azerbaiyán,,Asia - Europa,80.0,5.212,1.024,0.938,0.64,0.37,0.161,0.078,81.0,5.291,1.124,0.76,0.545,0.353,0.179,0.056,,,,,,,
Bahrein,Western Asia,Asia,49.0,5.96,1.324,1.216,0.747,0.455,0.306,0.174,42.0,6.218,1.44,0.944,0.657,0.474,0.258,0.171,6.173,1.269,0.389,0.748,0.138,0.199,42.0
Bangladesh,Southern Asia,Asia,109.0,4.694,0.398,0.431,0.602,0.408,0.126,0.212,110.0,4.643,0.542,0.247,0.53,0.398,0.126,0.191,4.282,0.513,0.355,0.617,0.165,0.139,118.0
Belarús,Eastern Europe,Europe,59.0,5.813,1.032,1.233,0.736,0.379,0.191,0.11,61.0,5.802,1.131,1.05,0.631,0.291,0.175,0.139,,,,,,,
Belice,Central America,North America,,,,,,,,,52.0,5.956,0.876,0.687,0.456,0.512,0.108,0.237,,,,,,,
Benin,Western Africa,Africa,155.0,3.34,0.287,0.354,0.319,0.484,0.08,0.183,153.0,3.484,0.395,0.104,0.21,0.397,0.067,0.202,4.374,0.242,0.124,0.481,0.253,0.114,116.0
Bhután,Southern Asia,Asia,79.0,5.253,0.77,1.104,0.574,0.532,0.154,0.48,84.0,5.196,0.853,0.908,0.498,0.461,0.162,0.485,,,,,,,
Bolivia,South America,South America,51.0,5.89,0.681,0.978,0.539,0.574,0.088,0.205,59.0,5.822,0.794,0.838,0.47,0.51,0.077,0.217,5.684,1.187,0.329,0.648,0.06,0.103,69.0
Bosnia y Herzegovina,Southern Europe,Europe,96.0,4.949,0.832,0.919,0.791,0.092,0.002,0.248,87.0,5.163,0.934,0.644,0.708,0.095,0.0,0.299,5.633,1.361,0.429,0.485,0.008,0.247,71.0
