Country Name,Region,Continent,"Agricultura, silvicultura y pesca, valor agregado_2015","Agricultura, silvicultura y pesca, valor agregado_2016","Agricultura, silvicultura y pesca, valor agregado_2017","Agricultura, silvicultura y pesca, valor agregado_2018","Agricultura, silvicultura y pesca, valor agregado_2019","Agricultura, silvicultura y pesca, valor agregado_2020","Agricultura, silvicultura y pesca, valor agregado_2021","Agricultura, silvicultura y pesca, valor agregado_2022","Agricultura, silvicultura y pesca, valor agregado_2023",Cobertura de beneficios por desempleo y los ALMP _2015,Cobertura de beneficios por desempleo y los ALMP _2016,Cobertura de beneficios por desempleo y los ALMP _2017,Cobertura de beneficios por desempleo y los ALMP _2018,Cobertura de beneficios por desempleo y los ALMP _2019,Cobertura de beneficios por desempleo y los ALMP _2020,Cobertura de beneficios por desempleo y los ALMP _2021,Comercio servicios_2015,Comercio servicios_2016,Comercio servicios_2017,Comercio servicios_2018,Comercio servicios_2019,Comercio servicios_2020,Comercio servicios_2021,Comercio servicios_2022,Comercio servicios_2023,Contaminación aire_2015,Contaminación aire_2016,Contaminación aire_2017,Crecimiento PIB per capita_2015,Crecimiento PIB per capita_2016,Crecimiento PIB per capita_2017,Crecimiento PIB per capita_2018,Crecimiento PIB per capita_2019,Crecimiento PIB per capita_2020,Crecimiento PIB per capita_2021,Crecimiento PIB per capita_2022,Crecimiento PIB per capita_2023,Crecimiento población urbana_2015,Crecimiento población urbana_2016,Crecimiento población urbana_2017,Crecimiento población urbana_2018,Crecimiento población urbana_2019,Crecimiento población urbana_2020,Crecimiento población urbana_2021,Crecimiento población urbana_2022,Crecimiento población urbana_2023,Desempleo hombres_2015,Desempleo hombres_2016,Desempleo hombres_2017,Desempleo hombres_2018,Desempleo hombres_2019,Desempleo hombres_2020,Desempleo hombres_2021,Desempleo hombres_2022,Desempleo hombres_2023,Desempleo mujeres_2015,Desempleo mujeres_2016,Desempleo mujeres_2017,Desempleo mujeres_2018,Desempleo mujeres_2019,Desempleo mujeres_2020,Desempleo mujeres_2021,Desempleo mujeres_2022,Desempleo mujeres_2023,"Desempleo, total_2015","Desempleo, total_2016","Desempleo, total_2017","Desempleo, total_2018","Desempleo, total_2019","Desempleo, total_2020","Desempleo, total_2021","Desempleo, total_2022","Desempleo, total_2023","Empleadores, total_2015","Empleadores, total_2016","Empleadores, total_2017","Empleadores, total_2018","Empleadores, total_2019","Empleadores, total_2020","Empleadores, total_2021","Empleadores, total_2022","Empleadores, total_2023",Empleados agricultura - hombres_2015,Empleados agricultura - hombres_2016,Empleados agricultura - hombres_2017,Empleados agricultura - hombres_2018,Empleados agricultura - hombres_2019,Empleados agricultura - hombres_2020,Empleados agricultura - hombres_2021,Empleados agricultura - hombres_2022,Empleados agricultura - hombres_2023,Empleados agricultura - mujeres_2015,Empleados agricultura - mujeres_2016,Empleados agricultura - mujeres_2017,Empleados agricultura - mujeres_2018,Empleados agricultura - mujeres_2019,Empleados agricultura - mujeres_2020,Empleados agricultura - mujeres_2021,Empleados agricultura - mujeres_2022,Empleados agricultura - mujeres_2023,"Empleo vulnerable, total_2015","Empleo vulnerable, total_2016","Empleo vulnerable, total_2017","Empleo vulnerable, total_2018","Empleo vulnerable, total_2019","Empleo vulnerable, total_2020","Empleo vulnerable, total_2021","Empleo vulnerable, total_2022","Empleo vulnerable, total_2023",Empleos agricultura_2015,Empleos agricultura_2016,Empleos agricultura_2017,Empleos agricultura_2018,Empleos agricultura_2019,Empleos agricultura_2020,Empleos agricultura_2021,Empleos agricultura_2022,Empleos agricultura_2023,Exportaciones bienes y servicios (% del PIB)_2015,Exportaciones bienes y servicios (% del PIB)_2016,Exportaciones bienes y servicios (% del PIB)_2017,Exportaciones bienes y servicios (% del PIB)_2018,Exportaciones bienes y servicios (% del PIB)_2019,Exportaciones bienes y servicios (% del PIB)_2020,Exportaciones bienes y servicios (% del PIB)_2021,Exportaciones bienes y servicios (% del PIB)_2022,Exportaciones bienes y servicios (% del PIB)_2023,Exportaciones de bienes y servicios(% anual)_2015,Exportaciones de bienes y servicios(% anual)_2016,Exportaciones de bienes y servicios(% anual)_2017,Exportaciones de bienes y servicios(% anual)_2018,Exportaciones de bienes y servicios(% anual)_2019,Exportaciones de bienes y servicios(% anual)_2020,Exportaciones de bienes y servicios(% anual)_2021,Exportaciones de bienes y servicios(% anual)_2022,Exportaciones de bienes y servicios(% anual)_2023,Gasto investigación y desarrollo_2015,Gasto investigación y desarrollo_2016,Gasto investigación y desarrollo_2017,Gasto investigación y desarrollo_2018,Gasto investigación y desarrollo_2019,Gasto investigación y desarrollo_2020,Gasto investigación y desarrollo_2021,Gasto investigación y desarrollo_2022,Indice facilidad para hacer negocios_2019,"Inflación, deflactor del PIB (%) anual_2015","Inflación, deflactor del PIB (%) anual_2016","Inflación, deflactor del PIB (%) anual_2017","Inflación, deflactor del PIB (%) anual_2018","Inflación, deflactor del PIB (%) anual_2019","Inflación, deflactor del PIB (%) anual_2020","Inflación, deflactor del PIB (%) anual_2021","Inflación, deflactor del PIB (%) anual_2022","Inflación, deflactor del PIB (%) anual_2023",Inversión extranjera directa_2015,Inversión extranjera directa_2016,Inversión extranjera directa_2017,Inversión extranjera directa_2018,Inversión extranjera directa_2019,Inversión extranjera directa_2020,Inversión extranjera directa_2021,Inversión extranjera directa_2022,Inversión extranjera directa_2023,Medicos (cada 1.000 personas)_2015,Medicos (cada 1.000 personas)_2016,Medicos (cada 1.000 personas)_2017,Medicos (cada 1.000 personas)_2018,Medicos (cada 1.000 personas)_2019,Medicos (cada 1.000 personas)_2020,Medicos (cada 1.000 personas)_2021,Medicos (cada 1.000 personas)_2022,Nuevas empresas registradas (numero)_2015,Nuevas empresas registradas (numero)_2016,Nuevas empresas registradas (numero)_2017,Nuevas empresas registradas (numero)_2018,Nuevas empresas registradas (numero)_2019,Nuevas empresas registradas (numero)_2020,Nuevas empresas registradas (numero)_2021,Nuevas empresas registradas (numero)_2022,Pago de impuestos (numero)_2015,Pago de impuestos (numero)_2016,Pago de impuestos (numero)_2017,Pago de impuestos (numero)_2018,Pago de impuestos (numero)_2019,Personas desempleadas educación avanzada_2015,Personas desempleadas educación avanzada_2016,Personas desempleadas educación avanzada_2017,Personas desempleadas educación avanzada_2018,Personas desempleadas educación avanzada_2019,Personas desempleadas educación avanzada_2020,Personas desempleadas educación avanzada_2021,Personas desempleadas educación avanzada_2022,Personas desempleadas educación avanzada_2023,Personas desempleadas educación basica_2015,Personas desempleadas educación basica_2016,Personas desempleadas educación basica_2017,Personas desempleadas educación basica_2018,Personas desempleadas educación basica_2019,Personas desempleadas educación basica_2020,Personas desempleadas educación basica_2021,Personas desempleadas educación basica_2022,Personas desempleadas educación basica_2023,Personas desempleadas educación intermedia_2015,Personas desempleadas educación intermedia_2016,Personas desempleadas educación intermedia_2017,Personas desempleadas educación intermedia_2018,Personas desempleadas educación intermedia_2019,Personas desempleadas educación intermedia_2020,Personas desempleadas educación intermedia_2021,Personas desempleadas educación intermedia_2022,Personas desempleadas educación intermedia_2023,PIB per capita US a precios actuales_2015,PIB per capita US a precios actuales_2016,PIB per capita US a precios actuales_2017,PIB per capita US a precios actuales_2018,PIB per capita US a precios actuales_2019,PIB per capita US a precios actuales_2020,PIB per capita US a precios actuales_2021,PIB per capita US a precios actuales_2022,PIB per capita US a precios actuales_2023,Tasa crecimiento prom. anualizada _2015,Tasa crecimiento prom. anualizada _2016,Tasa crecimiento prom. anualizada _2017,Tasa crecimiento prom. anualizada _2018,Tasa crecimiento prom. anualizada _2019,Tasa crecimiento prom. anualizada _2020,Tasa crecimiento prom. anualizada _2021,Tasa crecimiento prom. anualizada _2022,Tasa crecimiento prom. anualizada _2023,Tecnicos investigación y desarrollo_2015,Tecnicos investigación y desarrollo_2016,Tecnicos investigación y desarrollo_2017,Tecnicos investigación y desarrollo_2018,Tierras cultivables_2015,Tierras cultivables_2016,Tierras cultivables_2017,Tierras cultivables_2018,Tierras cultivables_2019,Tierras cultivables_2020,Tierras cultivables_2021,Tierras cultivables_2022,"Trabajadores asalariados (empleados), total_2015","Trabajadores asalariados (empleados), total_2016","Trabajadores asalariados (empleados), total_2017","Trabajadores asalariados (empleados), total_2018","Trabajadores asalariados (empleados), total_2019","Trabajadores asalariados (empleados), total_2020","Trabajadores asalariados (empleados), total_2021","Trabajadores asalariados (empleados), total_2022","Trabajadores asalariados (empleados), total_2023",Trabajadores salud_2015,Trabajadores salud_2016
Afganistán,Southern Asia,Asia,20.634,25.74,26.42,22.043,25.774,29.976,33.598,33.701,34.521,,,,,,,,10.743,9.053,8.581,11.638,9.918,9.044,,,,100.0,100.0,100.0,-1.665,-0.3,-0.196,-1.714,0.856,-5.383,-22.584,-7.577,0.541,3.995,3.407,3.723,3.876,3.995,4.204,3.457,2.577,3.32,8.401,9.399,10.363,10.198,10.031,10.456,10.911,13.168,13.066,11.611,12.834,14.018,14.783,15.549,16.778,16.945,26.742,26.57,,,11.184,,,11.71,5.679,,,2.444,2.485,2.626,2.276,1.901,1.643,1.526,1.455,1.423,38.947,38.701,37.707,39.257,41.711,44.178,44.365,45.453,45.343,66.072,66.069,66.595,63.169,58.51,53.836,53.756,47.846,47.418,82.841,81.34,80.015,80.742,81.641,82.691,80.742,80.746,80.294,44.297,44.369,43.989,44.248,45.051,45.983,45.955,45.593,45.464,,,,,,10.421,14.342,18.38,16.775,,,,,,,7.243,18.613,-9.028,,,,,,,,,173.0,2.448,-2.198,2.404,2.071,6.521,6.963,2.839,9.406,2.962,0.884,0.517,0.275,0.662,0.124,0.065,0.216,,,0.291,0.284,0.245,0.304,0.214,0.254,,,2255.0,2448.0,3022.0,4274.0,,,,,19.0,19.0,19.0,19.0,19.0,,,15.46,,,14.384,9.781,,,,,12.283,,,11.103,6.754,,,,,16.155,,,12.569,8.879,,,565.57,522.082,525.47,491.337,496.603,510.787,356.496,357.261,415.707,,,,,,,,,,,,,,11.905,11.85,11.804,11.95,11.941,12.003,12.003,12.003,14.716,16.175,17.359,16.981,16.458,15.666,17.732,17.799,18.283,,
Albania,Southern Europe,Europe,19.78,19.85,19.022,17.916,18.16,18.806,17.793,16.984,16.223,,,,,,,,34.387,37.277,40.394,38.56,39.79,25.556,33.902,39.608,44.981,100.0,100.0,100.0,2.517,3.48,3.898,4.276,2.498,-2.757,9.984,6.109,5.137,1.485,1.544,1.541,1.317,1.071,0.858,0.443,0.094,0.104,17.248,16.162,14.466,12.635,11.587,11.724,11.307,9.917,9.888,17.122,14.49,12.524,11.888,11.318,11.648,11.678,10.405,10.376,17.193,15.418,13.616,12.304,11.466,11.639,11.474,10.785,10.669,2.362,2.702,2.99,3.294,3.069,3.427,3.962,3.981,4.061,36.407,35.833,34.618,33.297,32.206,32.227,31.696,31.191,30.798,47.636,45.19,42.426,42.261,41.585,41.248,41.314,40.48,39.928,56.451,55.902,52.832,52.187,51.199,50.278,48.151,48.979,48.302,41.283,40.041,38.078,37.286,36.417,36.265,36.017,35.357,34.893,27.267,28.978,31.57,31.114,30.936,22.541,31.133,37.197,38.665,0.969,11.341,13.243,4.026,2.48,-27.726,52.097,17.042,9.454,,,,,,,,,82.0,0.564,-0.633,1.451,2.967,1.001,0.041,3.444,9.862,6.066,8.691,8.805,7.855,7.831,7.706,7.019,6.758,7.579,6.884,,1.219,,,1.651,1.883,,,2567.0,2679.0,2983.0,2990.0,2998.0,2757.0,3296.0,3365.0,34.0,34.0,35.0,35.0,35.0,19.276,17.054,13.694,14.014,12.296,12.54,10.379,10.228,8.947,13.5,12.916,12.24,9.907,8.687,9.346,10.109,9.437,9.694,20.502,17.652,15.294,14.232,14.259,13.559,13.279,12.355,12.824,3952.804,4124.055,4531.032,5365.489,5460.428,5370.779,6413.283,6846.426,8575.171,,,,,,3.96,,,,,,,,22.449,22.639,22.336,22.312,22.263,21.883,21.894,21.828,41.188,41.396,44.178,44.519,45.732,46.294,47.886,47.04,47.637,,
Alemania,Western Europe,Europe,0.709,0.73,0.861,0.743,0.834,0.729,0.742,1.004,0.842,,,,,,,,17.272,17.491,18.097,18.366,18.915,16.746,18.701,21.654,21.116,95.953,89.155,89.174,0.777,1.472,2.333,0.813,0.76,-4.173,3.626,0.642,0.354,0.879,0.838,0.422,0.367,0.308,0.181,0.16,0.855,-0.469,4.962,4.433,4.182,3.798,3.541,4.222,3.987,3.401,3.27,4.205,3.722,3.317,2.902,2.724,3.487,3.14,2.797,2.836,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.12,3.068,4.863,4.79,4.696,4.558,4.428,4.023,4.028,4.076,3.978,1.775,1.67,1.621,1.6,1.528,1.568,1.523,1.55,1.53,0.954,0.891,0.881,0.846,0.832,0.823,0.929,0.886,0.82,5.846,5.737,5.591,5.362,5.147,4.852,4.821,4.774,4.649,1.394,1.308,1.277,1.25,1.204,1.221,1.246,1.24,1.199,42.604,41.624,42.326,42.607,42.386,39.169,42.658,45.781,43.402,4.873,1.987,4.104,2.486,1.9,-9.486,9.98,3.055,-0.3,2.934,2.94,3.047,3.11,3.168,3.13,3.142,,22.0,1.685,1.256,1.468,1.865,2.016,1.755,2.803,6.092,6.143,1.823,1.643,2.891,4.004,1.907,4.487,2.349,1.507,0.431,4.12,4.187,4.251,4.311,4.394,4.459,4.518,,69384.0,70720.0,71801.0,72844.0,73991.0,72774.0,82991.0,74773.0,9.0,9.0,9.0,9.0,9.0,2.263,2.179,1.99,1.906,1.872,2.544,2.404,1.877,2.149,11.166,10.1,9.615,8.852,7.947,9.439,7.686,6.788,6.322,4.231,3.656,3.301,2.856,2.705,3.2,3.097,2.704,2.571,41911.011,42961.036,45526.6,48874.86,47623.866,47379.765,52265.654,49686.115,54343.227,,,,,,2.43,,,,1909.854,1945.705,2006.653,,33.956,33.67,33.695,33.577,33.527,33.384,33.367,33.367,89.291,89.473,89.713,90.081,90.424,91.125,91.152,91.151,91.373,,
Andorra,Southern Europe,Europe,0.513,0.522,0.56,0.546,0.523,0.559,0.532,0.487,0.478,,,,,,,,,,,,87.58,75.316,86.54,94.435,,90.848,17.42,17.824,3.631,3.7,-1.806,-0.302,0.265,-12.224,6.927,7.721,1.123,-2.252,-0.1,2.057,1.779,1.642,1.1,1.198,1.644,1.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.661,0.348,1.137,1.012,1.375,1.114,2.559,4.237,6.296,,,,,,,,,,3.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38654.935,40129.819,40672.994,42819.775,41257.805,37361.09,42425.7,42414.059,46812.448,,,,,,,,,,,,,,1.723,1.745,1.745,1.754,1.683,1.636,1.591,1.591,,,,,,,,,,,
Angola,Middle Africa,Africa,9.123,9.831,10.017,8.608,7.883,9.947,11.486,13.738,14.902,,,,6.47,,,,20.479,25.26,20.054,13.493,12.168,11.689,10.742,10.9,10.231,100.0,100.0,100.0,-2.631,-6.003,-3.621,-4.666,-4.01,-8.672,-1.97,-0.144,-2.063,4.738,4.678,4.61,4.489,4.395,4.242,4.127,4.059,3.968,15.464,15.788,16.068,16.298,16.447,16.764,15.817,14.472,14.405,17.528,17.369,17.158,16.892,16.547,16.614,15.781,14.736,14.671,,,,,16.497,,15.799,14.124,,4.871,4.931,4.967,4.991,4.993,4.971,4.962,4.943,4.923,46.193,46.62,46.731,47.05,47.327,49.811,52.137,52.032,52.03,67.783,65.991,64.029,61.874,59.575,60.337,61.266,60.607,60.525,58.843,59.018,59.341,59.634,60.072,60.564,60.378,60.304,60.578,56.796,56.164,55.283,54.403,53.423,55.059,56.708,56.272,56.224,29.755,28.124,29.004,40.836,40.791,38.315,47.745,44.392,40.857,-14.689,-18.396,24.544,-7.614,-17.415,-7.342,-8.558,3.271,-6.185,,0.032,,,,,,,177.0,-3.518,21.774,22.615,28.167,19.187,10.763,38.824,13.711,17.62,11.081,-0.34,-10.038,-8.126,-5.781,-3.848,-6.549,-6.321,-2.499,,,0.212,0.211,,,,0.244,,,,,,,,23342.0,32.0,31.0,31.0,31.0,31.0,,,,,18.604,,17.111,,,,,,,15.03,,12.263,,,,,,,30.351,,29.437,,,3213.903,1807.953,2437.26,2538.591,2189.856,1449.923,1925.875,2929.694,2308.16,,,,,,,,,,,5.201,,,4.111,4.289,4.293,4.297,4.302,4.306,4.31,4.31,36.286,36.051,35.692,35.375,34.935,34.465,34.66,34.753,34.499,,
Antigua y Barbuda,,,1.445,1.459,1.665,1.627,1.648,2.28,2.082,1.954,1.914,,,,,,,,95.71,98.91,93.29,90.468,98.455,61.439,62.614,82.31,82.504,100.0,100.0,100.0,0.714,3.452,1.898,6.414,2.606,-19.306,7.602,8.937,3.332,0.022,0.009,0.013,0.045,0.103,0.228,0.329,0.39,0.455,,,,,,,,,,,,,,,,,,,,,,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.691,70.02,64.572,62.471,69.209,41.911,46.983,54.69,,,,,,,,,,,,,,,,,,,113.0,2.788,-0.468,0.312,1.46,0.718,0.8,4.914,6.499,4.805,7.931,6.54,9.88,12.178,7.761,7.528,18.101,16.155,14.785,,,2.898,,,,,,271.0,296.0,380.0,280.0,242.0,255.0,262.0,277.0,57.0,57.0,57.0,57.0,57.0,,,,3.359,,,,,,,,,10.52,,,,,,,,,10.278,,,,,,16080.658,16557.843,16924.789,18273.427,18884.373,15360.454,17340.379,20117.765,21787.102,,,,,,,,,,,,,,9.091,9.091,9.091,9.091,9.091,9.091,9.091,9.091,,,,,,,,,,,
Arabia Saudita,Western Asia,Asia,2.773,2.947,2.867,2.482,2.56,2.96,2.675,2.405,2.715,,,,,,,,15.312,13.182,13.431,12.28,12.275,8.886,9.619,10.55,13.537,100.0,100.0,100.0,-0.773,-1.861,0.836,5.869,1.543,-8.131,7.697,2.84,-4.004,5.452,4.01,0.339,-2.289,-0.176,5.097,-2.203,4.68,3.589,2.85,2.884,3.585,3.552,2.74,4.22,3.74,2.896,2.009,25.414,24.341,23.683,22.892,23.288,24.714,18.607,16.864,12.322,5.6,5.6,5.89,6.029,5.636,7.66,6.621,5.589,4.008,0.891,0.851,0.818,0.938,1.991,3.072,4.329,4.65,4.959,6.525,5.038,4.234,3.341,3.678,3.509,3.109,3.385,3.346,0.332,0.285,0.704,0.592,1.854,1.036,0.484,0.434,0.445,2.236,2.182,2.091,1.629,3.241,2.465,2.245,1.795,1.871,5.928,4.556,3.906,3.052,3.469,3.171,2.666,2.884,2.832,32.564,30.159,33.566,37.199,34.089,24.902,32.775,40.221,34.749,0.698,6.881,-1.732,8.642,-4.884,-11.781,5.602,20.499,-6.513,,,,,,0.498,0.445,0.463,63.0,-16.437,-2.36,6.387,14.734,-2.023,-9.185,13.301,17.984,-2.965,0.593,3.297,0.142,1.434,0.367,0.221,2.644,2.531,1.154,2.237,2.267,2.409,2.514,2.633,2.648,2.789,3.077,11933.0,11589.0,12396.0,13817.0,17077.0,15897.0,22382.0,23297.0,3.0,3.0,3.0,3.0,4.0,,,10.426,10.718,10.92,12.014,8.798,7.999,5.87,,,1.904,1.868,1.39,2.803,4.076,2.492,1.34,,,7.019,6.698,6.059,8.077,7.107,5.482,4.532,22453.572,21515.66,23081.205,28036.026,27892.842,23271.404,28396.086,34454.196,32093.962,,,,,,,,,,,,,,1.613,1.609,1.604,1.6,1.596,1.596,1.596,1.596,96.873,96.967,97.091,97.432,94.768,94.464,93.426,93.555,93.171,,
Argelia,,,10.533,11.068,11.032,11.244,11.479,12.834,11.235,10.613,13.087,,,,,,,,7.726,7.916,7.575,7.745,6.811,6.324,5.436,5.091,5.046,100.0,100.0,100.0,1.1,1.786,-0.542,-0.546,-0.94,-6.612,2.133,1.968,2.551,2.945,2.914,2.858,2.735,2.608,2.452,2.333,2.273,2.16,10.028,8.408,10.08,10.215,10.337,12.026,11.638,10.39,9.79,16.741,18.763,21.252,21.477,21.677,24.032,23.351,22.126,21.144,11.206,10.202,,,,,,,,4.359,4.489,4.619,4.656,4.673,4.67,4.655,4.635,4.617,9.94,9.573,11.329,11.162,10.841,11.021,10.981,10.628,10.426,3.219,2.952,3.737,3.62,3.441,3.417,3.444,3.255,3.178,27.146,27.122,27.112,26.985,27.191,27.502,27.456,27.415,27.477,8.834,8.535,10.161,10.012,9.721,9.884,9.844,9.536,9.337,20.528,18.487,20.334,23.423,20.408,15.535,23.444,30.809,23.62,0.5,6.9,-4.3,-3.4,-5.7,-12.2,11.5,-0.1,3.4,,,0.534,,,,,,157.0,-4.987,0.857,4.938,6.165,0.883,-4.711,15.933,22.951,0.855,-0.287,0.906,0.648,0.754,0.714,0.694,0.467,0.106,0.491,,1.842,,1.732,0.987,,,,14140.0,14816.0,16683.0,15708.0,14401.0,13981.0,16926.0,17867.0,27.0,27.0,27.0,27.0,27.0,,,17.75,,,,,,,,,10.93,,,,,,,,,11.26,,,,,,,4685.059,4424.985,4554.668,4577.21,4468.453,3743.542,4160.559,4961.553,5364.028,,,,,,,,,,,,41.862,,3.133,3.109,3.137,3.149,3.162,3.162,3.162,3.162,68.495,68.389,68.269,68.359,68.137,67.828,67.89,67.95,67.906,,
Argentina,South America,South America,5.157,6.265,5.232,4.538,5.319,6.357,7.291,6.638,5.93,,0.645,0.938,1.084,1.083,1.201,0.993,5.421,6.332,6.325,7.549,7.694,5.579,4.702,5.634,5.98,98.022,94.139,93.853,1.661,-3.025,1.916,-3.416,-2.695,-10.336,10.149,5.048,-1.893,1.185,1.104,1.014,0.955,0.843,0.615,0.394,0.339,0.413,6.798,7.288,7.544,8.246,9.202,10.778,7.915,6.145,5.641,8.706,9.224,9.485,10.563,10.718,12.394,9.852,7.682,6.793,,,8.347,9.221,9.843,11.461,8.736,6.805,6.139,3.594,3.698,3.834,3.911,3.792,2.933,3.57,3.431,3.31,0.875,0.854,0.885,0.883,0.864,0.84,0.812,0.845,0.791,0.258,0.251,0.265,0.258,0.256,0.279,0.237,0.378,0.377,20.753,21.086,21.506,21.618,22.715,24.067,24.019,23.28,22.443,0.626,0.609,0.631,0.624,0.61,0.606,0.571,0.646,0.613,10.706,12.527,11.32,14.437,17.925,16.605,18.067,16.248,12.749,-2.777,5.317,2.615,0.646,9.751,-17.438,8.453,4.606,-7.513,0.623,0.558,0.556,0.488,0.478,0.542,0.518,,126.0,26.58,41.119,26.006,42.034,49.196,40.083,53.802,69.876,135.369,1.977,0.585,1.789,2.233,1.485,1.266,1.368,2.402,3.694,3.973,3.987,3.979,,4.068,3.895,,4.082,4958.0,5885.0,6209.0,5667.0,,,,,9.0,9.0,9.0,9.0,9.0,,,3.268,3.64,3.874,4.718,3.426,2.898,2.494,,,10.511,11.082,12.303,14.823,10.395,7.777,7.187,,,9.129,10.691,11.232,12.566,10.645,8.295,7.421,13679.626,12699.962,14532.501,11752.8,9955.975,8535.599,10738.018,13935.681,14187.483,,,,,,,,-3.98,,326.079,328.603,349.522,398.051,14.745,14.629,14.753,14.682,14.927,15.322,15.431,15.749,75.653,75.216,74.66,74.471,73.493,73.0,72.411,73.29,74.247,,
Armenia,,,17.223,16.39,14.994,13.942,11.526,11.35,11.344,10.147,8.482,,,,,,,,29.59,31.044,33.693,35.27,36.809,17.023,22.603,36.356,37.616,100.0,100.0,100.0,3.516,0.612,7.965,5.569,7.836,-7.169,5.771,12.338,7.514,-0.348,-0.415,-0.399,-0.277,-0.108,0.115,0.213,0.456,0.989,17.326,17.742,17.923,17.682,17.391,19.164,15.711,14.099,13.957,19.185,17.494,17.488,20.239,19.191,17.233,15.236,12.668,12.542,18.261,17.617,17.705,10.589,9.794,8.055,8.418,,,0.556,0.577,0.606,0.619,0.941,0.898,0.82,1.063,1.071,39.529,39.294,39.018,39.21,37.531,43.14,39.861,39.501,39.197,64.563,64.094,64.131,64.119,61.681,60.983,65.785,65.126,65.026,63.51,63.196,62.973,62.721,59.927,60.236,61.912,60.211,59.835,51.973,51.773,51.683,51.522,49.646,52.384,53.101,52.507,52.296,29.725,33.744,38.216,39.393,41.351,29.765,35.906,50.225,59.452,4.9,21.3,19.3,5.0,16.0,-33.5,18.6,59.9,30.7,0.25,0.233,0.228,0.189,0.179,0.209,0.206,0.21,47.0,1.214,0.269,2.151,2.788,1.066,1.807,6.901,7.986,2.673,1.745,3.165,2.193,2.142,0.736,0.463,2.64,5.0,2.41,2.962,2.94,2.972,2.968,3.117,,,,3493.0,3510.0,4443.0,6137.0,6877.0,5700.0,6768.0,11723.0,14.0,14.0,14.0,15.0,15.0,17.529,16.815,17.817,11.58,9.405,7.323,7.432,,,15.244,14.57,17.403,7.052,11.576,7.806,7.087,,,18.835,18.226,17.683,10.008,9.936,9.026,9.761,,,3512.394,3524.425,3869.054,4196.006,4597.229,4268.681,4685.18,6571.974,8053.011,,,,1.26,,,,,,,,,,15.69,15.68,15.666,15.652,15.623,15.595,15.575,15.551,35.933,36.227,36.421,36.66,39.132,38.866,37.268,38.725,39.094,,
