Country Name,Indicator Name,Year,Value,Region,Continent
Afganistán,"Agricultura, silvicultura y pesca, valor agregado.csv",2015,20.6343227166798,Southern Asia,Asia
Afganistán,"Agricultura, silvicultura y pesca, valor agregado.csv",2016,25.7403140364582,Southern Asia,Asia
Afganistán,"Agricultura, silvicultura y pesca, valor agregado.csv",2017,26.4201990834448,Southern Asia,Asia
Afganistán,"Agricultura, silvicultura y pesca, valor agregado.csv",2018,22.0428967527575,Southern Asia,Asia
Afganistán,"Agricultura, silvicultura y pesca, valor agregado.csv",2019,25.7739707394105,Southern Asia,Asia
Afganistán,"Agricultura, silvicultura y pesca, valor agregado.csv",2020,29.9755825210461,Southern Asia,Asia
Afganistán,"Agricultura, silvicultura y pesca, valor agregado.csv",2021,33.5976188725451,Southern Asia,Asia
Afganistán,"Agricultura, silvicultura y pesca, valor agregado.csv",2022,33.7014323213923,Southern Asia,Asia
Afganistán,"Agricultura, silvicultura y pesca, valor agregado.csv",2023,34.5208917527827,Southern Asia,Asia
Afganistán,Comercio servicios.csv,2015,10.7426793181858,Southern Asia,Asia
Afganistán,Comercio servicios.csv,2016,9.05292065533949,Southern Asia,Asia
Afganistán,Comercio servicios.csv,2017,8.58068228236206,Southern Asia,Asia
Afganistán,Comercio servicios.csv,2018,11.638304710115,Southern Asia,Asia
Afganistán,Comercio servicios.csv,2019,9.91813397763459,Southern Asia,Asia
Afganistán,Comercio servicios.csv,2020,9.0438454994653,Southern Asia,Asia
Afganistán,Contaminación aire.csv,2015,100.0,Southern Asia,Asia
Afganistán,Contaminación aire.csv,2016,100.0,Southern Asia,Asia
Afganistán,Contaminación aire.csv,2017,100.0,Southern Asia,Asia
Afganistán,Crecimiento PIB per capita.csv,2015,-1.66505744749013,Southern Asia,Asia
Afganistán,Crecimiento PIB per capita.csv,2016,-0.300121027406746,Southern Asia,Asia
Afganistán,Crecimiento PIB per capita.csv,2017,-0.195569548342789,Southern Asia,Asia
Afganistán,Crecimiento PIB per capita.csv,2018,-1.71374269254262,Southern Asia,Asia
Afganistán,Crecimiento PIB per capita.csv,2019,0.856294729087764,Southern Asia,Asia
Afganistán,Crecimiento PIB per capita.csv,2020,-5.38251464221077,Southern Asia,Asia
Afganistán,Crecimiento PIB per capita.csv,2021,-22.5844818732987,Southern Asia,Asia
Afganistán,Crecimiento PIB per capita.csv,2022,-7.57666891152213,Southern Asia,Asia
Afganistán,Crecimiento PIB per capita.csv,2023,0.540655554216826,Southern Asia,Asia
Afganistán,Crecimiento población urbana.csv,2015,3.9946261512183,Southern Asia,Asia
Afganistán,Crecimiento población urbana.csv,2016,3.40681271655218,Southern Asia,Asia
Afganistán,Crecimiento población urbana.csv,2017,3.72340281512711,Southern Asia,Asia
Afganistán,Crecimiento población urbana.csv,2018,3.87643265737667,Southern Asia,Asia
Afganistán,Crecimiento población urbana.csv,2019,3.995142834675,Southern Asia,Asia
Afganistán,Crecimiento población urbana.csv,2020,4.20421701305538,Southern Asia,Asia
Afganistán,Crecimiento población urbana.csv,2021,3.45660638746524,Southern Asia,Asia
Afganistán,Crecimiento población urbana.csv,2022,2.57685430442875,Southern Asia,Asia
Afganistán,Crecimiento población urbana.csv,2023,3.31956817544451,Southern Asia,Asia
Afganistán,Desempleo hombres.csv,2015,8.401,Southern Asia,Asia
Afganistán,Desempleo hombres.csv,2016,9.399,Southern Asia,Asia
Afganistán,Desempleo hombres.csv,2017,10.363,Southern Asia,Asia
Afganistán,Desempleo hombres.csv,2018,10.198,Southern Asia,Asia
Afganistán,Desempleo hombres.csv,2019,10.031,Southern Asia,Asia
Afganistán,Desempleo hombres.csv,2020,10.456,Southern Asia,Asia
Afganistán,Desempleo hombres.csv,2021,10.911,Southern Asia,Asia
Afganistán,Desempleo hombres.csv,2022,13.168,Southern Asia,Asia
Afganistán,Desempleo hombres.csv,2023,13.066,Southern Asia,Asia
Afganistán,Desempleo mujeres.csv,2015,11.611,Southern Asia,Asia
Afganistán,Desempleo mujeres.csv,2016,12.834,Southern Asia,Asia
Afganistán,Desempleo mujeres.csv,2017,14.018,Southern Asia,Asia
Afganistán,Desempleo mujeres.csv,2018,14.783,Southern Asia,Asia
Afganistán,Desempleo mujeres.csv,2019,15.549,Southern Asia,Asia
Afganistán,Desempleo mujeres.csv,2020,16.778,Southern Asia,Asia
Afganistán,Desempleo mujeres.csv,2021,16.945,Southern Asia,Asia
Afganistán,Desempleo mujeres.csv,2022,26.742,Southern Asia,Asia
Afganistán,Desempleo mujeres.csv,2023,26.57,Southern Asia,Asia
Afganistán,"Desempleo, total.csv",2017,11.184,Southern Asia,Asia
Afganistán,"Desempleo, total.csv",2020,11.71,Southern Asia,Asia
Afganistán,"Desempleo, total.csv",2021,5.679,Southern Asia,Asia
Afganistán,"Empleadores, total.csv",2015,2.44356995394714,Southern Asia,Asia
Afganistán,"Empleadores, total.csv",2016,2.4849601701917,Southern Asia,Asia
Afganistán,"Empleadores, total.csv",2017,2.62567224694597,Southern Asia,Asia
Afganistán,"Empleadores, total.csv",2018,2.27635179617964,Southern Asia,Asia
Afganistán,"Empleadores, total.csv",2019,1.9009848903797,Southern Asia,Asia
Afganistán,"Empleadores, total.csv",2020,1.6432602739863,Southern Asia,Asia
Afganistán,"Empleadores, total.csv",2021,1.52556085558896,Southern Asia,Asia
Afganistán,"Empleadores, total.csv",2022,1.45463589117742,Southern Asia,Asia
Afganistán,"Empleadores, total.csv",2023,1.4232002677188,Southern Asia,Asia
Afganistán,Empleados agricultura - hombres.csv,2015,38.9471907100985,Southern Asia,Asia
Afganistán,Empleados agricultura - hombres.csv,2016,38.7010848753164,Southern Asia,Asia
Afganistán,Empleados agricultura - hombres.csv,2017,37.7069532743694,Southern Asia,Asia
Afganistán,Empleados agricultura - hombres.csv,2018,39.2574524523303,Southern Asia,Asia
Afganistán,Empleados agricultura - hombres.csv,2019,41.7113305598848,Southern Asia,Asia
Afganistán,Empleados agricultura - hombres.csv,2020,44.1776447289925,Southern Asia,Asia
Afganistán,Empleados agricultura - hombres.csv,2021,44.3646392380646,Southern Asia,Asia
Afganistán,Empleados agricultura - hombres.csv,2022,45.4525300885341,Southern Asia,Asia
Afganistán,Empleados agricultura - hombres.csv,2023,45.3426582347764,Southern Asia,Asia
Afganistán,Empleados agricultura - mujeres.csv,2015,66.072065922278,Southern Asia,Asia
Afganistán,Empleados agricultura - mujeres.csv,2016,66.0690138153423,Southern Asia,Asia
Afganistán,Empleados agricultura - mujeres.csv,2017,66.5953595154631,Southern Asia,Asia
Afganistán,Empleados agricultura - mujeres.csv,2018,63.1685737133143,Southern Asia,Asia
Afganistán,Empleados agricultura - mujeres.csv,2019,58.51027853971,Southern Asia,Asia
Afganistán,Empleados agricultura - mujeres.csv,2020,53.8358727076764,Southern Asia,Asia
Afganistán,Empleados agricultura - mujeres.csv,2021,53.7556550508471,Southern Asia,Asia
Afganistán,Empleados agricultura - mujeres.csv,2022,47.8462362216355,Southern Asia,Asia
